,Name,Duration,CalcPrio,Verdict,Cycle,DurationGroup,TimeGroup,Month,Quarter,Failure_Percentage,Num_Previous_Execution,Maturity_Level,Rank_score,Original_Index,Rank,GapInRun,InSameCycle,CycleRun,last_run,last_result,times_ran,gap_cats,my_maturity
0,112180,6.907755279,3,1,326,2,1,11,4,0.09919571,5.92157842,2,3.755068195,23799,1,-0.0006946852379251475,0,0,21.11537470627628,0,373,0,3586.092666
1,112180,6.907755279,3,1,300,2,0,10,4,0.103151862,5.855071922,2,3.746983692,21848,2,-3.098011120212871,1,1,21.1139156586724,0,349,0,6000.090095
2,112180,6.907755279,3,1,293,2,2,10,4,0.102941176,5.828945618,3,3.743260697,21238,3,-3.098011120212871,0,0,21.11350392010579,0,340,0,2930.087565
3,112180,6.907755279,3,1,286,2,2,10,4,0.102719033,5.802118375,3,3.739436019,20630,4,-3.0827436578163483,0,0,21.113094449766194,0,331,0,2860.085036
4,112180,6.907755279,3,1,279,2,2,10,4,0.102167183,5.777652323,3,3.735839698,20110,5,-3.1135153192103746,0,0,21.11268477104493,0,323,0,2790.08251
5,112180,6.907755279,3,1,272,2,2,10,4,0.101587302,5.752572639,3,3.732148779,19603,6,-3.0239031528064015,0,0,21.11227520906399,0,315,0,2720.079984
6,112180,6.907755279,3,1,265,2,2,9,3,0.100977199,5.726847748,3,3.728358162,19079,7,-3.1135153192103746,0,0,21.11186499110911,0,307,0,2385.077458
7,112180,6.907755279,3,1,263,2,0,9,3,0.098360656,5.720311777,2,3.726631998,18962,8,0.0013879253858050892,0,0,21.11180388734236,0,305,1,1183.574953
8,112180,6.907755279,3,1,258,2,2,9,3,0.096989967,5.700443573,3,3.723425536,18564,9,-3.098011120212871,0,0,21.111454889685756,0,299,0,2322.072436
9,112180,6.907755279,3,1,251,2,2,9,3,0.096551724,5.669880923,3,3.71901091,17988,10,-3.1135153192103746,0,0,21.111044579296475,0,290,0,2259.069908
10,112180,6.907755279,3,1,240,2,2,9,3,0.097826087,5.620400866,3,3.712478754,17037,11,-2.3972010718116428,1,1,21.110469780294338,0,276,0,4320.067364
11,112180,6.907755279,3,1,238,2,0,9,3,0.097014925,5.590986981,2,3.70810935,16538,12,-1.742969305058623,1,3,21.11038691748443,0,268,0,4284.06484
12,112180,6.907755279,3,1,237,2,0,8,3,0.095057034,5.572154032,2,3.704865791,16180,13,-2.2684520887722384,1,2,21.11033566458112,0,263,0,3792.062329
13,112180,6.907755279,3,1,231,2,0,8,3,0.097165992,5.509388337,2,3.696732371,15410,14,-4.564348159467837,1,1,21.110044679195024,1,247,0,3696.059776
14,112180,6.907755279,3,1,231,2,0,8,3,0.093495935,5.505331536,2,3.695026701,15330,15,-0.0104713002041375,0,0,21.110044067877666,1,246,0,1848.057281
15,112180,6.907755279,3,1,230,2,0,8,3,0.089795918,5.501258211,2,3.69330943,15249,16,-0.0006946852379251475,0,0,21.109985991024775,0,245,0,1840.054787
16,112180,6.907755279,3,1,220,2,2,8,3,0.092105263,5.429345629,3,3.683957566,14081,17,-3.0827436578163483,0,0,21.10940161133732,0,228,0,1760.052232
17,112180,6.907755279,3,1,206,2,0,8,3,0.093457944,5.365976015,2,3.675505151,13222,18,-3.098011120212871,1,1,21.108579134400983,0,214,0,3296.049687
18,112180,6.907755279,3,1,185,2,2,7,3,0.098445596,5.262690189,3,3.662591307,11883,19,-3.0827436578163483,0,0,21.10734419009045,0,193,0,1295.047104
19,112180,6.907755279,3,1,178,2,2,7,3,0.097297297,5.220355825,3,3.656308524,11384,20,-3.0827436578163483,0,0,21.106932189218767,0,185,0,1246.044584
20,112180,6.907755279,3,1,171,2,0,6,2,0.096045198,5.176149733,1,3.64973152,10870,21,0.0,0,0,21.106576170427502,0,177,1,513.0420654
21,112180,6.907755279,3,1,168,2,2,6,2,0.091954023,5.159055299,3,3.646070035,10650,22,0.0,0,0,21.10639948375129,1,174,1,504.0395751
22,112180,6.907755279,3,1,167,2,0,6,2,0.086705202,5.153291594,1,3.643635982,10570,23,-0.0006946852379251475,0,0,21.1063405812545,0,173,0,1002.037097
